问题id,问题,分类
200,截至2011年，内蒙古君正能源化工股份有限公司正在从事的研发项目有哪些？,招股说明书
201,查询下基金代码005137的基金，它的托管人是？,查询数据库
202,大连派思燃气系统股份有限公司在哪些年份获得了美国GE公司的奖项？,招股说明书
203,20210106日，请给出汇安宜创量化精选混合C基金的管理人和累计单位净值。,查询数据库
204,请帮我计算，在20210715，中信行业分类划分的一级行业为消费者服务行业中，涨跌幅最大股票的股票代码是？涨跌幅是多少？百分数保留两位小数。股票涨跌幅定义为：（收盘价 - 前一日收盘价 / 前一日收盘价）* 100%。,查询数据库
205,"在20201231的年报(含半年报)中，泰康长江经济带债券C基金的债券持仓,其持有最大仓位的债券类型是什么?",查询数据库
206,森赫电梯股份有限公司境外销售的获客方式有哪些？,招股说明书
207,武汉兴图新科电子股份有限公司计划使用本次发行募集资金的多少用于补充流动资金？,招股说明书
208,烟台杰瑞石油服务集团股份有限公司在成立以来业务范围如何扩展？,招股说明书
209,截至本招股意向书签署日，浙江开尔新材料股份有限公司的全资子公司是哪些？,招股说明书
210,我想知道股票300819在申万行业分类下的二级行业是什么？用最新的数据。,查询数据库
211,股票002215在20190228日期中的收盘价是多少?（小数点保留3位）,查询数据库
212,请问股票代码为002164的股票在2019年内日成交量低于该股票当年平均日成交量的有多少个交易日？,查询数据库
